@relation csvPartidos

@attribute surface {Hard,Clay,Grass}
@attribute P1_hand {R,L,U}
@attribute P2_hand {R,L,U}
@attribute P1_ht numeric
@attribute P2_ht numeric
@attribute P1_age numeric
@attribute P2_age numeric
@attribute P1_ace numeric
@attribute P2_ace numeric
@attribute P1_df numeric
@attribute P2_df numeric
@attribute P1_svpt numeric
@attribute P2_svpt numeric
@attribute P1_1stIn numeric
@attribute P2_1stIn numeric
@attribute P1_1stWon numeric
@attribute P2_1stWon numeric
@attribute P1_2ndWon numeric
@attribute P2_2ndWon numeric
@attribute P1_SvGms numeric
@attribute P2_SvGms numeric
@attribute P1_bpSaved numeric
@attribute P2_bpSaved numeric
@attribute P1_rank numeric
@attribute P2_rank numeric
@attribute P1_bpFaced numeric
@attribute P2_bpFaced numeric
@attribute WINNER {P1,P2}

@data
Hard,R,R,183,188,25.65,30.63,9,10,2,3,82,80,49,47,39,33,20,19,13,14,8,1,47,52,9,4,P1
Hard,R,R,?,?,21.23,23.7,5,3,3,5,58,62,32,41,25,25,14,7,9,9,4,7,54,94,5,11,P1
Hard,R,R,188,172,31.32,25.62,7,8,0,6,94,120,66,53,48,37,12,29,14,15,9,10,63,30,11,16,P1
Hard,R,R,?,188,18.87,28.02,9,6,3,2,66,80,37,43,32,33,17,17,11,11,2,4,208,44,3,6,P1
Hard,R,L,?,190,19.98,27.24,5,4,4,0,55,45,38,35,32,28,11,5,10,9,3,0,175,68,3,2,P1
Hard,L,L,190,?,30.36,28.08,4,4,1,0,66,69,51,51,35,27,6,8,11,11,3,1,33,218,6,6,P1
Hard,R,R,180,170,29.15,25.38,6,1,4,2,69,70,40,34,32,22,16,20,11,11,3,1,38,26,4,3,P1
Hard,L,R,188,?,32.68,21.49,12,9,3,0,57,51,37,32,31,25,11,10,10,9,1,4,66,120,1,6,P1
Hard,R,R,188,?,30.1,19.95,7,4,1,4,48,46,32,25,23,18,11,6,9,8,2,1,76,79,3,5,P1
Hard,R,L,?,193,21.62,34.65,7,19,4,5,64,68,35,40,29,33,17,10,10,11,2,3,58,25,2,5,P1
Hard,R,L,?,?,22.98,18.72,5,18,5,5,113,100,65,62,54,54,29,18,17,17,5,1,50,51,6,3,P1
Hard,R,R,183,180,28.55,29.55,8,1,0,1,57,74,37,43,27,24,17,17,9,9,1,7,128,137,1,10,P1
Hard,R,U,183,?,25.65,26.14,19,5,5,5,96,115,54,68,43,50,23,17,15,15,8,7,47,119,9,11,P1
Hard,R,R,188,?,31.32,21.23,6,4,1,9,63,72,45,35,35,26,8,15,10,10,5,5,63,54,7,9,P1
Hard,R,R,?,196,18.87,27.01,5,9,0,4,67,63,41,38,29,26,16,13,10,10,5,7,208,24,6,10,P1
Hard,R,L,?,190,19.98,30.36,12,11,3,3,111,83,67,50,48,37,22,17,15,15,6,4,175,33,8,8,P1
Hard,R,L,180,188,29.15,32.68,9,2,2,2,51,49,33,28,25,15,10,7,7,8,4,2,38,66,4,7,P1
Hard,R,R,193,188,22.68,30.1,13,11,2,2,100,105,62,78,53,58,21,16,16,16,2,5,21,76,2,7,P1
Hard,R,R,?,?,22.98,21.62,12,11,3,1,102,109,66,75,54,51,16,20,17,17,1,6,50,58,3,8,P1
Hard,R,R,188,183,26.63,28.55,6,5,5,1,113,101,65,67,51,46,22,18,16,15,4,3,3,128,7,6,P1
Hard,R,R,183,188,25.65,31.32,11,3,2,1,60,67,34,46,27,29,14,12,9,9,1,5,47,63,2,7,P1
Hard,R,R,?,?,18.87,19.98,6,3,1,5,46,51,23,29,18,18,17,8,8,8,3,3,208,175,3,7,P1
Hard,R,R,193,180,22.68,29.15,18,6,5,3,69,75,43,41,38,33,11,16,13,13,1,2,21,38,3,4,P1
Hard,R,R,188,?,26.63,22.98,12,6,9,1,103,89,65,53,54,39,18,23,16,15,2,4,3,50,2,6,P1
Hard,R,R,183,?,25.65,18.87,14,9,5,5,115,94,70,62,49,49,24,16,16,16,3,0,47,208,6,3,P1
Hard,R,R,193,188,22.68,26.63,19,5,2,6,72,74,50,44,41,32,11,16,13,13,1,3,21,3,2,6,P1
Hard,R,R,193,183,22.68,25.65,17,8,1,3,56,58,40,32,33,22,9,12,9,9,5,4,21,47,5,7,P1
Hard,R,R,?,188,21.13,26.48,13,3,4,2,115,110,80,73,56,45,15,19,16,16,7,6,48,10,11,11,P1
Hard,R,R,185,?,25.86,28.6,0,1,1,1,61,55,45,36,28,18,10,11,10,9,4,5,59,73,6,9,P1
Hard,R,L,?,183,20.2,27.23,2,0,5,1,25,23,13,9,13,5,3,5,3,4,1,0,39,82,1,3,P1
Hard,L,R,188,175,34.13,32.74,6,1,6,4,90,82,57,49,35,23,13,12,13,13,9,7,35,67,15,16,P1
Hard,L,L,185,188,27.63,29.96,6,10,2,2,97,86,62,57,43,43,22,16,16,16,8,4,64,23,11,7,P1
Hard,U,U,?,?,26.04,23.62,8,0,2,2,34,50,20,40,19,19,9,3,7,8,0,4,134,?,0,9,P1
Hard,R,R,?,190,26.48,30.78,8,9,0,4,49,70,31,43,25,27,14,14,9,10,3,4,138,451,3,7,P1
Hard,L,R,188,188,36.28,34.58,23,9,4,2,113,111,67,66,51,46,26,29,17,17,12,3,36,70,13,4,P1
Hard,R,R,185,185,28.47,25.85,6,1,2,4,53,49,26,33,22,19,12,3,9,8,1,5,60,34,3,10,P1
Hard,U,R,?,193,21.72,31.89,12,6,2,3,96,122,55,94,45,64,19,12,16,16,2,10,135,55,5,13,P1
Hard,R,R,193,183,31.33,36.05,7,3,6,3,88,78,57,50,44,35,12,12,14,14,5,3,46,43,8,7,P1
Hard,R,R,?,196,27.69,32.29,8,9,6,2,95,96,53,58,43,49,17,16,14,15,2,5,53,19,5,7,P1
Hard,R,R,185,173,31.54,37.42,7,1,0,0,37,38,22,27,19,9,10,5,7,7,0,3,31,83,0,8,P1
Hard,R,R,?,190,19.39,34.24,10,0,0,1,84,106,52,63,43,45,14,20,16,16,2,7,91,69,5,11,P1
Hard,R,R,181,185,28.46,33.95,9,2,0,5,50,74,29,47,25,27,9,8,9,10,2,5,49,98,4,11,P1
Hard,R,R,185,185,24.33,27.65,13,2,3,1,64,77,38,53,35,34,11,11,10,11,3,4,5,72,4,7,P1
Hard,R,R,?,185,21.13,25.86,3,3,1,3,55,59,39,35,28,15,8,12,8,8,2,6,48,59,3,11,P1
Hard,R,L,?,188,20.2,34.13,3,12,9,5,101,75,62,41,42,30,17,18,15,14,7,3,39,35,11,7,P1
Hard,L,U,185,?,27.63,26.04,2,9,1,2,60,79,43,42,31,30,11,13,10,11,4,4,64,134,6,8,P1
Hard,R,L,?,188,26.48,36.28,8,13,1,4,71,71,46,38,33,31,17,16,11,11,3,4,138,36,3,5,P1
Hard,R,U,185,?,28.47,21.72,2,3,0,2,38,50,22,30,19,17,13,8,8,8,0,2,60,135,0,6,P1
Hard,R,R,193,?,31.33,27.69,3,5,5,3,68,65,40,38,32,27,16,18,13,12,1,5,46,53,3,7,P1
Hard,R,R,?,185,19.39,31.54,4,2,2,0,59,56,36,42,31,27,11,9,10,9,0,1,91,31,0,3,P1
Hard,R,R,185,181,24.33,28.46,9,1,3,1,66,96,42,57,33,37,12,17,11,11,2,12,5,49,3,15,P1
Hard,R,R,?,?,20.2,21.13,2,6,8,2,67,62,37,43,32,28,13,7,11,10,1,1,39,48,2,4,P1
Hard,L,R,185,?,27.63,26.48,7,3,1,1,54,48,44,34,34,23,6,6,9,8,2,4,64,138,2,7,P1
Hard,R,R,193,185,31.33,28.47,8,0,4,0,70,68,51,35,37,21,8,19,11,10,1,3,46,60,3,6,P1
Hard,R,R,185,?,24.33,19.39,7,4,4,3,70,76,45,49,33,32,13,11,11,11,6,2,5,91,7,5,P1
Hard,R,L,?,185,20.2,27.63,2,3,11,0,117,101,76,74,55,44,14,12,15,15,7,6,39,64,11,11,P1
Hard,R,R,193,185,31.33,24.33,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,46,5,?,?,P1
Hard,R,R,193,?,31.33,20.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,46,39,?,?,P1
Hard,L,L,?,?,23.59,29.97,6,8,6,1,114,107,65,75,56,58,24,16,17,16,5,1,124,117,6,3,P1
Hard,R,R,?,193,22.58,27.21,8,9,8,8,96,108,56,53,45,42,17,23,17,17,3,2,88,93,6,6,P1
Hard,R,R,183,?,30.02,28.14,2,5,0,6,82,85,49,52,33,33,19,12,10,10,8,6,74,87,9,9,P1
Hard,R,R,?,?,25.9,25.38,2,2,0,2,36,49,26,27,21,12,7,11,7,8,0,4,85,95,0,9,P1
Hard,R,R,?,180,22.23,31.94,9,4,5,5,105,109,63,68,48,47,24,24,17,17,5,5,113,1690,7,9,P1
Hard,R,R,190,188,30.74,30.83,7,1,3,2,80,85,49,50,35,29,15,16,12,12,2,8,42,97,5,12,P1
Hard,U,L,?,?,24.93,24.48,3,15,0,9,80,73,57,46,40,31,13,12,11,10,2,6,198,62,3,8,P1
Hard,R,R,?,?,23.85,20.38,5,2,2,3,51,67,31,37,23,18,12,15,9,9,1,4,230,223,2,8,P1
Hard,R,R,183,?,33.01,26.45,2,1,2,2,58,46,33,24,19,14,14,6,9,8,2,4,89,96,4,9,P1
Hard,R,R,188,?,26.79,25.25,11,5,7,4,118,109,76,72,57,48,19,18,16,16,9,2,81,109,11,6,P1
Hard,R,R,183,?,25.49,23.98,2,5,0,5,48,66,34,41,22,25,10,8,9,10,0,4,118,610,2,9,P1
Hard,R,R,?,?,23.15,24.78,8,1,2,4,62,73,43,44,37,32,9,13,10,10,2,3,148,106,2,5,P1
Hard,R,L,203,?,31.62,23.59,10,5,1,2,45,61,26,31,22,22,14,19,8,9,0,3,14,124,0,4,P1
Hard,R,R,183,?,30.02,22.58,0,6,1,4,74,81,54,40,39,30,10,18,12,12,0,6,74,88,2,9,P1
Hard,R,R,196,?,28.65,25.9,10,4,7,6,143,142,62,83,53,56,29,27,17,17,12,16,41,85,16,21,P1
Hard,R,R,190,?,30.74,22.23,13,12,2,3,104,107,63,64,50,49,21,25,16,17,3,3,42,113,5,5,P1
Hard,U,R,?,?,24.93,23.85,0,4,0,3,74,55,46,33,31,26,16,10,10,10,6,1,198,230,7,4,P1
Hard,R,R,183,183,33.01,29.72,4,0,2,4,86,75,49,43,34,30,19,15,11,10,3,4,89,20,5,7,P1
Hard,R,R,188,183,26.79,25.49,13,1,2,3,88,74,55,42,42,36,20,15,15,14,7,0,81,118,8,2,P1
Hard,R,R,198,?,29.26,23.15,8,5,1,1,50,56,26,35,23,22,15,9,10,9,0,1,6,148,1,4,P1
Hard,R,R,203,183,31.62,30.02,24,4,7,4,97,115,65,70,55,45,13,23,15,15,5,8,14,74,6,12,P1
Hard,R,R,196,190,28.65,30.74,9,7,7,4,105,91,43,53,31,33,28,19,15,14,5,5,41,42,10,10,P1
Hard,R,U,183,?,33.01,24.93,3,1,3,2,45,60,21,34,18,18,15,11,9,8,0,5,89,198,1,9,P1
Hard,R,R,198,188,29.26,26.79,7,2,1,5,44,46,24,25,23,17,13,8,9,8,0,1,6,81,0,4,P1
Hard,R,R,203,196,31.62,28.65,26,6,3,4,107,101,74,52,55,40,22,28,16,15,4,6,14,41,5,9,P1
Hard,R,R,183,198,33.01,29.26,0,9,3,1,86,66,56,37,34,27,14,13,12,12,7,1,89,6,10,5,P1
Hard,R,R,183,203,33.01,31.62,1,15,1,2,65,67,53,45,39,28,9,11,10,10,4,5,89,14,5,8,P1
